word,freq,freq_sexist,freq_not_sexist,text_ids,example_text
😂,174,46,128,"['sexism2022_english-4332' 'sexism2022_english-19'
 'sexism2022_english-11787' 'sexism2022_english-4732'
 'sexism2022_english-19698' 'sexism2022_english-10200'
 'sexism2022_english-2768' 'sexism2022_english-14544'
 'sexism2022_english-16166' 'sexism2022_english-18156'
 'sexism2022_english-16477' 'sexism2022_english-16145'
 'sexism2022_english-8735' 'sexism2022_english-14271'
 'sexism2022_english-11007' 'sexism2022_english-9148'
 'sexism2022_english-8775' 'sexism2022_english-743'
 'sexism2022_english-18201' 'sexism2022_english-7010'
 'sexism2022_english-1949' 'sexism2022_english-1759'
 'sexism2022_english-6808' 'sexism2022_english-5460'
 'sexism2022_english-5289' 'sexism2022_english-7319'
 'sexism2022_english-10205' 'sexism2022_english-10283'
 'sexism2022_english-9708' 'sexism2022_english-17536'
 'sexism2022_english-14446' 'sexism2022_english-340'
 'sexism2022_english-5388' 'sexism2022_english-5684'
 'sexism2022_english-5860' 'sexism2022_english-8181'
 'sexism2022_english-5648' 'sexism2022_english-19067'
 'sexism2022_english-16762' 'sexism2022_english-19392'
 'sexism2022_english-1087' 'sexism2022_english-10590'
 'sexism2022_english-3422' 'sexism2022_english-9659'
 'sexism2022_english-17242' 'sexism2022_english-13442'
 'sexism2022_english-3293' 'sexism2022_english-8989'
 'sexism2022_english-17522' 'sexism2022_english-837'
 'sexism2022_english-15486' 'sexism2022_english-17557'
 'sexism2022_english-1045' 'sexism2022_english-9903'
 'sexism2022_english-19037' 'sexism2022_english-12031'
 'sexism2022_english-10227' 'sexism2022_english-14527'
 'sexism2022_english-1649' 'sexism2022_english-12593'
 'sexism2022_english-4532' 'sexism2022_english-19632'
 'sexism2022_english-525' 'sexism2022_english-9695'
 'sexism2022_english-15828' 'sexism2022_english-17858'
 'sexism2022_english-10000' 'sexism2022_english-2440'
 'sexism2022_english-12948' 'sexism2022_english-6041'
 'sexism2022_english-7301' 'sexism2022_english-3932'
 'sexism2022_english-14585' 'sexism2022_english-14519'
 'sexism2022_english-16351' 'sexism2022_english-4108'
 'sexism2022_english-5996' 'sexism2022_english-4486'
 'sexism2022_english-11367' 'sexism2022_english-9745'
 'sexism2022_english-8498' 'sexism2022_english-11189'
 'sexism2022_english-13861' 'sexism2022_english-18414'
 'sexism2022_english-2282' 'sexism2022_english-10618'
 'sexism2022_english-2826' 'sexism2022_english-7279'
 'sexism2022_english-9003' 'sexism2022_english-10752'
 'sexism2022_english-12297' 'sexism2022_english-4566'
 'sexism2022_english-11765' 'sexism2022_english-6383'
 'sexism2022_english-13054' 'sexism2022_english-13531']",i don't wanna suck any beef curtain flaps 😂
🤣,38,14,24,"['sexism2022_english-4359' 'sexism2022_english-16166'
 'sexism2022_english-1170' 'sexism2022_english-743'
 'sexism2022_english-863' 'sexism2022_english-14539'
 'sexism2022_english-19415' 'sexism2022_english-919'
 'sexism2022_english-13498' 'sexism2022_english-19392'
 'sexism2022_english-5612' 'sexism2022_english-10330'
 'sexism2022_english-2662' 'sexism2022_english-4092'
 'sexism2022_english-4532' 'sexism2022_english-19632'
 'sexism2022_english-13364' 'sexism2022_english-2952'
 'sexism2022_english-18849' 'sexism2022_english-12280'
 'sexism2022_english-5996' 'sexism2022_english-4486'
 'sexism2022_english-14812' 'sexism2022_english-4566']","Aw, what's wrong nigger? You don't like your sheboon exposed for the savage she is? 🤣"
🤔,37,5,32,"['sexism2022_english-4511' 'sexism2022_english-423'
 'sexism2022_english-15331' 'sexism2022_english-10982'
 'sexism2022_english-9113' 'sexism2022_english-11391'
 'sexism2022_english-9878' 'sexism2022_english-19104'
 'sexism2022_english-6301' 'sexism2022_english-17448'
 'sexism2022_english-10569' 'sexism2022_english-13920'
 'sexism2022_english-2645' 'sexism2022_english-3293'
 'sexism2022_english-9457' 'sexism2022_english-10216'
 'sexism2022_english-18825' 'sexism2022_english-11493'
 'sexism2022_english-7593' 'sexism2022_english-11874'
 'sexism2022_english-217' 'sexism2022_english-12280'
 'sexism2022_english-6616' 'sexism2022_english-11103'
 'sexism2022_english-5060' 'sexism2022_english-15766'
 'sexism2022_english-3203' 'sexism2022_english-12723'
 'sexism2022_english-1549']",Why does she have to be white? Do blackcels hate black females or something ? 🤔
😁,22,5,17,"['sexism2022_english-7175' 'sexism2022_english-4732'
 'sexism2022_english-7882' 'sexism2022_english-17855'
 'sexism2022_english-16036' 'sexism2022_english-9540'
 'sexism2022_english-10734' 'sexism2022_english-629'
 'sexism2022_english-885' 'sexism2022_english-2566'
 'sexism2022_english-14962' 'sexism2022_english-3840'
 'sexism2022_english-13943' 'sexism2022_english-2481'
 'sexism2022_english-15384' 'sexism2022_english-5996'
 'sexism2022_english-4486' 'sexism2022_english-1984'
 'sexism2022_english-2160']",He sure took her for a ride. 😁
😊,19,0,19,"['sexism2022_english-19879' 'sexism2022_english-14740'
 'sexism2022_english-1949' 'sexism2022_english-12876'
 'sexism2022_english-14615' 'sexism2022_english-17536'
 'sexism2022_english-8818' 'sexism2022_english-10274'
 'sexism2022_english-4071' 'sexism2022_english-15444'
 'sexism2022_english-6221' 'sexism2022_english-10004'
 'sexism2022_english-6495' 'sexism2022_english-9399'
 'sexism2022_english-13402' 'sexism2022_english-9461'
 'sexism2022_english-13531']",My mom does 😊
😄,17,2,15,"['sexism2022_english-2384' 'sexism2022_english-16166'
 'sexism2022_english-17547' 'sexism2022_english-14979'
 'sexism2022_english-11079' 'sexism2022_english-15428'
 'sexism2022_english-7059' 'sexism2022_english-2290'
 'sexism2022_english-0' 'sexism2022_english-9750'
 'sexism2022_english-13531']",Lol sounds like me. I don't normally play the lottery but one yr my mom bought us all each 5 tickets for Christmas. I got nothing until my last ticket and it was a $5 prize 😄😄😄
🇺🇸,16,0,16,"['sexism2022_english-5555' 'sexism2022_english-7486'
 'sexism2022_english-8818' 'sexism2022_english-1085'
 'sexism2022_english-13863' 'sexism2022_english-17677'
 'sexism2022_english-11195' 'sexism2022_english-10693'
 'sexism2022_english-10036' 'sexism2022_english-1218']","Pray Always🇺🇸🇮🇱‏ [USER] Or we’ll rape your women and children? Migrant Urges Germans, Austrians To Give Refugees ""Their Homes and Money"" | Zero Hedge [URL] …"
👍,16,1,15,"['sexism2022_english-1528' 'sexism2022_english-750'
 'sexism2022_english-14539' 'sexism2022_english-16859'
 'sexism2022_english-10283' 'sexism2022_english-9378'
 'sexism2022_english-8818' 'sexism2022_english-1954'
 'sexism2022_english-13362' 'sexism2022_english-1840'
 'sexism2022_english-19220' 'sexism2022_english-5995'
 'sexism2022_english-16411' 'sexism2022_english-840'
 'sexism2022_english-17481' 'sexism2022_english-664']","👍YES she needs to and she won't shy away form it , more power to her , i like her spunk !! 🌺💐🤗😘❤️️"
🙄,15,5,10,"['sexism2022_english-14992' 'sexism2022_english-5713'
 'sexism2022_english-3064' 'sexism2022_english-4034'
 'sexism2022_english-14539' 'sexism2022_english-2179'
 'sexism2022_english-19347' 'sexism2022_english-14126'
 'sexism2022_english-11997' 'sexism2022_english-4052'
 'sexism2022_english-5264' 'sexism2022_english-9672'
 'sexism2022_english-12899' 'sexism2022_english-9035']",O come on there's no way any men are attracted to her shes a pig🙄
👌,14,0,14,"['sexism2022_english-15548' 'sexism2022_english-3968'
 'sexism2022_english-14539' 'sexism2022_english-19244'
 'sexism2022_english-18331' 'sexism2022_english-12809'
 'sexism2022_english-14453' 'sexism2022_english-4092'
 'sexism2022_english-13844' 'sexism2022_english-12917'
 'sexism2022_english-17417']",Will be mentioning this to her next time we meet! Thanks twitter one can always find something good out of a bad situation eh👌
